team,name,nationality,position,apps,mins,goals,xg,goals_vs_xg,shots,sot,conv_pct,xg_per_shot,goals_x90,xg_x90,goals_vs_xg_x90,shots_x90,sot_x90,xg_per_90,goals_per_90,xa_per_90,assists_per_90,start_probability,status,saves_made,goals_conceded,save_perc,goals_prevented,xgot_conceded
Turkiye,Deniz Gul,Turkiye,FW,2,35,0.0,0.59,-0.59,2.0,1.0,0.0,0.29,0.0,1.52,-1.52,5.14,2.57,1.52,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Eren Elmali,Turkiye,DF,2,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Tyler Adams,United States,MF,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Arda Guler,Turkiye,MF,3,270,1.0,1.04,-0.04,12.0,4.0,8.33,0.09,0.33,0.35,-0.01,4.0,1.33,0.35,0.33,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Tim Ream,United States,DF,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Christian Pulisic,United States,MF,2,77,0.0,0.62,-0.62,3.0,2.0,0.0,0.21,0.0,0.72,-0.72,3.51,2.34,0.72,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Kerem Akturkoglu,Turkiye,FW,2,130,0.0,0.29,-0.29,3.0,1.0,0.0,0.1,0.0,0.2,-0.2,2.08,0.69,0.2,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Can Uzun,Turkiye,MF,2,36,0.0,0.4,-0.4,4.0,1.0,0.0,0.1,0.0,1.0,-1.0,10.0,2.5,1.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Ricardo Pepi,United States,FW,3,182,0.0,0.36,-0.36,5.0,0.0,0.0,0.07,0.0,0.18,-0.18,2.47,0.0,0.18,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Samet Akaydin,Turkiye,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Auston Trusty,United States,DF,2,100,1.0,0.27,0.73,3.0,2.0,33.33,0.09,0.9,0.24,0.66,2.7,1.8,0.24,0.9,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Ozan Kabak,Turkiye,DF,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Abdulkerim Bardakci,Turkiye,DF,3,266,0.0,0.11,-0.11,3.0,1.0,0.0,0.04,0.0,0.04,-0.04,1.02,0.34,0.04,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Alex Zendejas,United States,FW,1,13,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,0.0,0.14,-0.14,6.92,0.0,0.14,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
